,Composition,N Lipids/Layer,N_water,Temperature (K),Avg Membrane Thickness,Kappa (q^-4),Kappa (BW-DCF),Kappa (RSF),Node Features,Edge List,Graph-Level Features
118,"15.00% CHOL, 85.00% DAPE",2478,193399,310,3.82,13.12,6.46,13.68,"[('GL2', 'Na'), ('D3A', 'C4'), ('D2A', 'C4'), ('D3B', 'C4'), ('D4A', 'C4'), ('D2B', 'C4'), ('C5B', 'C1'), ('C5A', 'C1'), ('D4B', 'C4'), ('D1B', 'C4'), ('NH3', 'Qd'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D3B', 'D4B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C5B', 'D4B'), ('D1B', 'GL2'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('D1A', 'D2A'), ('D2B', 'D3B'), ('D1B', 'D2B')]","[0.15, 0.85]"
119,"85.00% PNSM, 15.00% PVSM",2915,181351,310,4.35,33.55,29.27,22.75,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('D3B', 'C3'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('C4B', 'D3B'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C2B', 'D3B'), ('C2A', 'C3A')]","[0.85, 0.15]"
120,"85.00% PNSM, 15.00% DRPC",2915,179969,310,4.35,22.67,59.78,18.64,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('D2B', 'C4'), ('D4B', 'C4'), ('C3B', 'C1'), ('GL1', 'Na'), ('D5B', 'C4'), ('C2A', 'C1'), ('D2A', 'C4'), ('D3B', 'C4'), ('D1B', 'C4'), ('D1A', 'C4'), ('PO4', 'Qa'), ('D5A', 'C4'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('D6B', 'C4'), ('C1B', 'C1'), ('AM2', 'P5'), ('D4A', 'C4'), ('C5B', 'C1'), ('D6A', 'C4')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('D3A', 'D4A'), ('D4A', 'D5A'), ('C2A', 'C3A'), ('D2B', 'D3B'), ('D1B', 'D2B'), ('D5A', 'D6A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('D1A', 'GL1'), ('D4B', 'D5B'), ('C5B', 'C6B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('D3B', 'D4B'), ('D1B', 'GL2'), ('D5B', 'D6B'), ('D1A', 'D2A')]","[0.85, 0.15]"
121,"85.00% PNSM, 15.00% DVPC",2915,181364,310,4.39,33.12,27,22.79,"[('D3A', 'C3'), ('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('D3B', 'C3'), ('C5B', 'C1')]","[('C4B', 'D3B'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C2A', 'D3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C4A', 'D3A'), ('C2B', 'D3B'), ('C1B', 'GL2')]","[0.85, 0.15]"
122,"85.00% PNSM, 15.00% PRPC",2915,179977,310,4.3,22.64,21.1,20.39,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('D2A', 'C4'), ('D1A', 'C4'), ('PO4', 'Qa'), ('D5A', 'C4'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1B', 'C1'), ('AM2', 'P5'), ('D4A', 'C4'), ('C5B', 'C1'), ('D6A', 'C4')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('D3A', 'D4A'), ('D4A', 'D5A'), ('C2A', 'C3A'), ('D5A', 'D6A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('D1A', 'GL1'), ('C5B', 'C6B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('C1B', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('D1A', 'D2A')]","[0.85, 0.15]"
123,"85.00% PNSM, 15.00% PQPE",2915,181305,310,4.39,27.02,21.01,22.25,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('D2A', 'C4'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('D4A', 'C4'), ('C5B', 'C1'), ('C5A', 'C1')]","[('C1A', 'D2A'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('D3A', 'D4A'), ('C2A', 'C3A'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2')]","[0.85, 0.15]"
124,"85.00% PNSM, 15.00% POSM",2915,181335,310,4.33,32,25.66,22.65,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('D2B', 'C3'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('C3B', 'D2B'), ('C3B', 'C4B'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C1B', 'D2B'), ('AM1', 'AM2'), ('C2A', 'T1A'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('NC3', 'PO4'), ('C2A', 'C3A')]","[0.85, 0.15]"
125,"85.00% PNSM, 15.00% POPE",2915,181329,310,4.42,31.66,24.87,23.4,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('D2A', 'C3'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1')]","[('C1A', 'D2A'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C3A', 'D2A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2')]","[0.85, 0.15]"
126,"85.00% PNSM, 15.00% PIPE",2915,181390,310,4.37,29.92,21.54,22.08,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('D2A', 'C4'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1')]","[('C1A', 'D2A'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('C1B', 'GL2')]","[0.85, 0.15]"
127,"85.00% PNSM, 15.00% PIPC",2915,181336,310,4.33,29.49,25.04,21.89,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('D2A', 'C4'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1')]","[('C1A', 'D2A'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('C1B', 'GL2')]","[0.85, 0.15]"
128,"85.00% PNSM, 15.00% PGSM",2915,181309,310,4.41,33.55,28.95,22.89,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('D3B', 'C3'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('C4B', 'D3B'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C2B', 'D3B'), ('C2A', 'C3A'), ('C4B', 'C5B')]","[0.85, 0.15]"
129,"85.00% PNSM, 15.00% PGPE",2915,181322,310,4.5,32.36,25.36,23.52,"[('D3A', 'C3'), ('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C2A', 'D3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
130,"85.00% PNSM, 15.00% PGPC",2915,181344,310,4.45,32.73,28.66,22.31,"[('D3A', 'C3'), ('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C2A', 'D3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
131,"85.00% PNSM, 15.00% PEPC",2915,181299,310,4.42,30.49,26.52,21.42,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('D4A', 'C4'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('D3A', 'D4A'), ('C2A', 'C3A'), ('C2A', 'D3A'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2')]","[0.85, 0.15]"
132,"85.00% PNSM, 15.00% PAPE",2915,181307,310,4.34,25.12,19.8,20.8,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('D2A', 'C4'), ('NH3', 'Qd'), ('D1A', 'C4'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1B', 'C1'), ('AM2', 'P5'), ('D4A', 'C4'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('D3A', 'D4A'), ('C2A', 'C3A'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('D1A', 'GL1'), ('C5B', 'C6B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C1B', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('D1A', 'D2A')]","[0.85, 0.15]"
133,"85.00% PNSM, 15.00% PAPC",2915,181344,310,4.3,26.1,23.27,20.81,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('D2A', 'C4'), ('D1A', 'C4'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('D3A', 'C4'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1B', 'C1'), ('AM2', 'P5'), ('D4A', 'C4'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('D3A', 'D4A'), ('C2A', 'C3A'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('D1A', 'GL1'), ('C5B', 'C6B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('C1B', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('D1A', 'D2A')]","[0.85, 0.15]"
134,"85.00% PNSM, 15.00% LPPE",2915,181363,310,4.77,2.28,26329781.95,19.96,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('GL2', 'Na'), ('C4A', 'C1'), ('T1A', 'C3'), ('NH3', 'Qd'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C3B', 'C1'), ('C1A', 'C1'), ('GL1', 'Na'), ('PO4', 'Qa')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C1B', 'GL2')]","[0.85, 0.15]"
135,"85.00% PNSM, 15.00% LPPC",2915,181371,310,4.37,32.48,29.21,23.05,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('GL2', 'Na'), ('C4A', 'C1'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C3B', 'C1'), ('C1A', 'C1'), ('GL1', 'Na'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('GL1', 'GL2'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.85, 0.15]"
136,"85.00% PNSM, 15.00% DYPC",2915,181952,310,4.27,30.59,23.49,21.17,"[('D2A', 'C3'), ('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('GL2', 'Na'), ('D2B', 'C3'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C3B', 'C1'), ('C1A', 'C1'), ('GL1', 'Na'), ('PO4', 'Qa')]","[('C1A', 'D2A'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C3A', 'D2A'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C3B', 'D2B'), ('C1B', 'GL2')]","[0.85, 0.15]"
137,"85.00% PNSM, 15.00% DXSM",2915,179962,310,4.58,34.39,32.32,23.35,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('C4A', 'C1'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('C3B', 'C4B'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C4B', 'C5B'), ('C2A', 'C3A'), ('C4A', 'C5A'), ('C3A', 'C4A')]","[0.85, 0.15]"
138,"85.00% PNSM, 15.00% DXPE",2915,179989,310,4.68,33.27,27.18,22.82,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C6A', 'C1'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C5A', 'C6A'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
139,"85.00% PNSM, 15.00% DXPC",2915,179981,310,4.64,34.57,28.95,22.8,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C6A', 'C1'), ('C2A', 'C1'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C5A', 'C6A'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
140,"85.00% PNSM, 15.00% DVPE",2915,181344,310,4.43,32.32,25.95,23.18,"[('D3A', 'C3'), ('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('D3B', 'C3'), ('C5B', 'C1')]","[('C4B', 'D3B'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C2A', 'D3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('AM1', 'T1A'), ('C4A', 'D3A'), ('C2B', 'D3B'), ('C1B', 'GL2')]","[0.85, 0.15]"
141,"85.00% PNSM, 15.00% DTPC",2912,182200,310,4.23,29.76,23.58,22.13,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('GL2', 'Na'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C3B', 'C1'), ('C1A', 'C1'), ('GL1', 'Na'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('GL1', 'GL2'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C1B', 'GL2'), ('C1A', 'GL1')]","[0.85, 0.15]"
142,"15.00% CHOL, 85.00% DBPC",2478,193377,310,4.92,45.23,45.34,39.71,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('GL1', 'PO4'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C4B', 'C5B'), ('C1B', 'GL2'), ('C4A', 'C5A'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.15, 0.85]"
